"SITE_ID"	"COM_ID"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"WGT"
"112"	"NLA12_CA-118"	"20273057"	NA	NA	NA	NA	37.6085052	-118.9426391	"CA"	"Region_9"	"WMT"	"18"	"18090102"	"NATURAL"	0.024493061	0.674680548	2650.02	89.29411765
"113"	"NLA12_CA-119"	"20197002"	1	7	8	2012	37.95383641	-120.4968436	"CA"	"Region_9"	"XER"	"18"	"18040010"	"MAN_MADE"	44.7073541	205.1316367	332.34	20.86922853
"114"	"NLA12_CA-120"	""	NA	NA	NA	NA	41.92485076	-121.6651735	"CA"	"Region_9"	"WMT"	"18"	"18010204"	""	6.050198111	10.10275902	1244.5	20.86922853
"115"	"NLA12_CA-121"	"14930103"	1	19	6	2012	36.08284307	-118.9092314	"CA"	"Region_9"	"XER"	"18"	"18030006"	"MAN_MADE"	10.059283	42.22641737	199.55	20.86922853
"116"	"NLA12_CA-122"	"8062989"	NA	NA	NA	NA	39.40910079	-120.5572128	"CA"	"Region_9"	"WMT"	"18"	"18020125"	"NATURAL"	0.02118525879	0.676502872	2128.43	89.29411765
"117"	"NLA12_CA-123"	"8921715"	1	15	8	2012	38.76397086	-119.9656214	"CA"	"Region_9"	"WMT"	"16"	"16050201"	"MAN_MADE"	0.1042702163	1.381916533	2445.3	17.23202013
"118"	"NLA12_CA-124"	"20330952"	NA	NA	NA	NA	32.97161107	-117.2640908	"CA"	"Region_9"	"XER"	"18"	"18070304"	""	0.172077507	5.883836905	2.69	17.23202013
"119"	"NLA12_CA-125"	"8271589"	NA	NA	NA	NA	38.69775682	-122.8175849	"CA"	"Region_9"	"XER"	"18"	"18010110"	""	0.01688147377	0.540051004	131.33	89.29411765
"120"	"NLA12_CA-126"	"20275637"	NA	NA	NA	NA	37.14453314	-118.5565952	"CA"	"Region_9"	"WMT"	"18"	"18090102"	"NATURAL"	0.1183269068	2.36554277	3279.27	17.23202013
"121"	"NLA12_CA-127"	"15033497"	NA	NA	NA	NA	38.54496637	-121.4016263	"CA"	"Region_9"	"XER"	"18"	"18020109"	"MAN_MADE"	0.03355728389	0.753708122	14.36	89.29411765
"122"	"NLA12_CA-128"	"8297113"	1	31	7	2012	39.72615676	-122.8416693	"CA"	"Region_9"	"WMT"	"18"	"18010104"	"NATURAL"	0.01033384661	0.418172977	1811.55	89.29411765
"123"	"NLA12_CA-129"	"24714732"	NA	NA	NA	NA	36.91239065	-121.0007868	"CA"	"Region_9"	"XER"	"18"	"18040014"	""	0.01528439627	0.536483447	221.7	89.29411765
"124"	"NLA12_CA-130"	"17080679"	NA	NA	NA	NA	37.95246916	-119.8398926	"CA"	"Region_9"	"WMT"	"18"	"18040009"	"NATURAL"	0.03777654583	0.791026657	1533.36	89.29411765
"125"	"NLA12_CA-131"	"2786529"	NA	NA	NA	NA	38.03968677	-121.9482729	"CA"	"Region_9"	"XER"	"18"	"18050001"	"MAN_MADE"	0.2534824874	2.14395772	1.06	13.63456264
